"﻿ROLL_NUMBER","RSN","PID","LAT_LONG","PROPERTY_ADDRESS","PROPERTY_POSTAL_CODE","GEOCODE_ADDRESS","YEAR_BUILT","TYPE","PRIMARY_USE","DESCRIPTION","APPROX_BUILDING_AREA","HVAC","FLOORS","PROPERTY_BUILDINGS","NOTES","ORDER","EUI","ENERGY_STAR_SCORE","GREENHOUSE_GAS_EMISSIONS"
"R006480581","114517","4248902","[46.15645,-120.011428]","7900 NELSON RD  ","V6W 1G4","7900 NELSON RD @","N/A","Commercial","Industrial","Industrial, Engineering","108,890.79 ","N/A","1","1","N/A","203",44,34,101
"R136467601","77061","9025103","[46.1930053,-120.1781618]","3211 GRANT MCCONACHIE WAY  ","V7B 0A4","3211 GRANT MCCONACHIE WAY","1996","Commercial","Airports, Heliports, Etc.","Airport","1,470,225","N/A","2","2","C2 - Vancouver International Airport","34",47,91,102
"R059266000","56887","17863686","[46.1658627368235,-120.13884728867]","6551 NO 3 RD  ","V6Y 2B6","6551 NO 3 RD","1992","Commercial","Shopping Centre (Regional)","Regional Shopping Centre","724,572","N/A","1","1","Springfield Centre","10",35,37,43
"R051516057","119679","26509075","[46.120761,-120.101647]","12831 HORSESHOE PL  ","V7A 4X5","12831 HORSESHOE PL @","1981","Commercial","Storage & Warehousing","Warehouse, Storage","635,961","Package Unit","2","1","London Drugs Warehouse","1",96,95,30
"R028322013","176719","7793553","[46.156393,-120.038917]","16133 BLUNDELL RD  ","V6W 0A3","16133 BLUNDELL RD @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","625,907","Radiant Space Heaters","1","1","ContainerWorld Warehouse","13",128,107,98
"R056928200","3647","4037995","[46.1755851180079,-120.132549451234]","5300 NO 3 RD  ","V6X 2X9","5300 NO 3 RD","1977","Commercial","Shopping Centre (Regional)","Regional Shopping Centre","598,619","N/A","1","1","Lansdowne Centre","16",85,66,46
"R039500020","174239","28328574","[46.1909658123656,-120.080294666025]","3320 JACOMBS RD  ","V6V 1Z6","3320 JACOMBS RD @","2012","Commercial","Big Box","Warehouse, Store","468,470","Package Unit","2","1","IKEA","24",85,63,81
"R133400000","38450","N/A","[46.2045,-120.160937]","5960 FERGUSON RD  ","V7B 1M6","5960 FERGUSON RD @","2003","Commercial","Storage & Warehousing","Warehouse, Distribution","446,909","Space Heater","1","1","UPS Warehouse","11",85,69,39
"R028322014","151378","7793553","[46.157074,-120.042382]","16131 BLUNDELL RD  ","V6W 0A3","16131 BLUNDELL RD @","2009","Commercial","Storage & Warehousing","Warehouse, Storage","443,581","Complete HVAC","1","1","N/A","14",38,84,53
"R133502001","64492","N/A","[46.194908,-120.1575]","6001 GRANT MCCONACHIE WAY  ","V7B 1K3","6001 GRANT MCCONACHIE WAY","1969","Commercial","Industrial","Hangar, Maintenance & Office","423,268","N/A","1","1","Airport Warehouse Area","35",37,70,49
